City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,30-04-2017,Group Stage,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,48,,DA Warner,AY Dandekar,S Ravi
Mumbai,Wankhede Stadium,India,01-05-2017,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,0,1,,5,RG Sharma,AK Chaudhary,CB Gaffaney
Pune,Maharashtra Cricket Association Stadium,India,01-05-2017,Group Stage,Rising Pune Supergiant,Gujarat Lions,,,,,Rising Pune Supergiant,field,Gujarat Lions,Rising Pune Supergiant,0,1,,5,BA Stokes,M Erasmus,C Shamshuddin
Delhi,Feroz Shah Kotla,India,02-05-2017,Group Stage,Delhi Daredevils,Sunrisers Hyderabad,,,,,Delhi Daredevils,field,Sunrisers Hyderabad,Delhi Daredevils,0,1,,6,Mohammed Shami,YC Barde,Nitin Menon
Kolkata,Eden Gardens,India,03-05-2017,Group Stage,Kolkata Knight Riders,Rising Pune Supergiant,,,,,Rising Pune Supergiant,field,Kolkata Knight Riders,Rising Pune Supergiant,0,1,,4,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore
Delhi,Feroz Shah Kotla,India,04-05-2017,Group Stage,Delhi Daredevils,Gujarat Lions,,,,,Delhi Daredevils,field,Gujarat Lions,Delhi Daredevils,0,1,,7,RR Pant,M Erasmus,Nitin Menon
Bangalore,M Chinnaswamy Stadium,India,05-05-2017,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,,,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,19,,Sandeep Sharma,CB Gaffaney,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,06-05-2017,Group Stage,Sunrisers Hyderabad,Rising Pune Supergiant,,,,,Sunrisers Hyderabad,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,12,,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary
Delhi,Feroz Shah Kotla,India,06-05-2017,Group Stage,Delhi Daredevils,Mumbai Indians,,,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,146,,LMP Simmons,Nitin Menon,CK Nandan
Bangalore,M Chinnaswamy Stadium,India,07-05-2017,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,6,SP Narine,AY Dandekar,C Shamshuddin
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,07-05-2017,Group Stage,Kings XI Punjab,Gujarat Lions,,,,,Gujarat Lions,field,Kings XI Punjab,Gujarat Lions,0,1,,6,DR Smith,A Nand Kishore,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,08-05-2017,Group Stage,Sunrisers Hyderabad,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,0,1,,7,S Dhawan,KN Ananthapadmanabhan,M Erasmus
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,09-05-2017,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,MM Sharma,A Nand Kishore,S Ravi
Kanpur,Green Park,India,10-05-2017,Group Stage,Gujarat Lions,Delhi Daredevils,,,,,Delhi Daredevils,field,Gujarat Lions,Delhi Daredevils,0,1,,2,SS Iyer,YC Barde,AK Chaudhary
Mumbai,Wankhede Stadium,India,11-05-2017,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,7,,WP Saha,A Deshmukh,A Nand Kishore
Delhi,Feroz Shah Kotla,India,12-05-2017,Group Stage,Delhi Daredevils,Rising Pune Supergiant,,,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,7,,KK Nair,KN Ananthapadmanabhan,CK Nandan
Kanpur,Green Park,India,13-05-2017,Group Stage,Gujarat Lions,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,8,Mohammed Siraj,AK Chaudhary,Nitin Menon
Kolkata,Eden Gardens,India,13-05-2017,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,9,,AT Rayudu,A Nand Kishore,S Ravi
Pune,Maharashtra Cricket Association Stadium,India,14-05-2017,Group Stage,Rising Pune Supergiant,Kings XI Punjab,,,,,Rising Pune Supergiant,field,Kings XI Punjab,Rising Pune Supergiant,0,1,,9,JD Unadkat,AY Dandekar,A Deshmukh
Delhi,Feroz Shah Kotla,India,14-05-2017,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,10,,HV Patel,CK Nandan,C Shamshuddin
Mumbai,Wankhede Stadium,India,16-05-2017,Group Stage,Mumbai Indians,Rising Pune Supergiant,,,,,Mumbai Indians,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,20,,Washington Sundar,S Ravi,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,India,17-05-2017,Group Stage,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,7,NM Coulter-Nile,AK Chaudhary,Nitin Menon
Bangalore,M Chinnaswamy Stadium,India,19-05-2017,Group Stage,Mumbai Indians,Kolkata Knight Riders,,,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,6,KV Sharma,NJ Llong,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,21-05-2017,Group Stage,Mumbai Indians,Rising Pune Supergiant,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,1,,KH Pandya,NJ Llong,S Ravi
Mumbai,Wankhede Stadium,India,07-04-2018,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,0,1,,1,DJ Bravo,CB Gaffaney,A Nand Kishore
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,08-04-2018,Group Stage,Kings XI Punjab,Delhi Daredevils,,,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,6,KL Rahul,KN Ananthapadmanabhan,RJ Tucker
Kolkata,Eden Gardens,India,08-04-2018,Group Stage,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,4,SP Narine,C Shamshuddin,A Deshmukh
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,09-04-2018,Group Stage,Sunrisers Hyderabad,Rajasthan Royals,,,,,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,0,1,,9,S Dhawan,VA Kulkarni,NJ Llong
Chennai,"MA Chidambaram Stadium, Chepauk",India,10-04-2018,Group Stage,Chennai Super Kings,Kolkata Knight Riders,,,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,5,SW Billings,CB Gaffaney,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,India,11-04-2018,Group Stage,Rajasthan Royals,Delhi Daredevils,,,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,10,,SV Samson,KN Ananthapadmanabhan,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,12-04-2018,Group Stage,Sunrisers Hyderabad,Mumbai Indians,,,,,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,0,1,,1,Rashid Khan,NJ Llong,CK Nandan
Bengaluru,M.Chinnaswamy Stadium,India,13-04-2018,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,,,,,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,0,1,,4,UT Yadav,A Deshmukh,S Ravi
Mumbai,Wankhede Stadium,India,14-04-2018,Group Stage,Mumbai Indians,Delhi Daredevils,,,,,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,7,JJ Roy,KN Ananthapadmanabhan,Nitin Menon
Kolkata,Eden Gardens,India,14-04-2018,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,,5,B Stanlake,AK Chaudhary,A Nand Kishore
Bengaluru,M.Chinnaswamy Stadium,India,15-04-2018,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,,,,,Royal Challengers Bangalore,field,Rajasthan Royals,Rajasthan Royals,1,0,19,,SV Samson,C Shamshuddin,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,15-04-2018,Group Stage,Kings XI Punjab,Chennai Super Kings,,,,,Chennai Super Kings,field,Kings XI Punjab,Kings XI Punjab,1,0,4,,CH Gayle,VA Kulkarni,CK Nandan
Kolkata,Eden Gardens,India,16-04-2018,Group Stage,Kolkata Knight Riders,Delhi Daredevils,,,,,Delhi Daredevils,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,71,,N Rana,AK Chaudhary,A Nand Kishore
Mumbai,Wankhede Stadium,India,17-04-2018,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,46,,RG Sharma,RJ Tucker,Nitin Menon
Jaipur,Sawai Mansingh Stadium,India,18-04-2018,Group Stage,Rajasthan Royals,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,7,N Rana,A Deshmukh,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,19-04-2018,Group Stage,Kings XI Punjab,Sunrisers Hyderabad,,,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,15,,CH Gayle,NJ Llong,AK Chaudhary
Pune,Maharashtra Cricket Association Stadium,India,20-04-2018,Group Stage,Chennai Super Kings,Rajasthan Royals,,,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,64,,SR Watson,KN Ananthapadmanabhan,Nitin Menon
Kolkata,Eden Gardens,India,21-04-2018,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,0,1,,9,KL Rahul,C Shamshuddin,A Deshmukh
Bengaluru,M.Chinnaswamy Stadium,India,21-04-2018,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,,,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,6,AB de Villiers,CB Gaffaney,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,22-04-2018,Group Stage,Sunrisers Hyderabad,Chennai Super Kings,,,,,Sunrisers Hyderabad,field,Chennai Super Kings,Chennai Super Kings,1,0,4,,AT Rayudu,VA Kulkarni,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,India,22-04-2018,Group Stage,Rajasthan Royals,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,0,1,,3,JC Archer,KN Ananthapadmanabhan,RJ Tucker
Delhi,Feroz Shah Kotla,India,23-04-2018,Group Stage,Delhi Daredevils,Kings XI Punjab,,,,,Delhi Daredevils,field,Kings XI Punjab,Kings XI Punjab,1,0,4,,AS Rajpoot,A Nand Kishore,CK Nandan
Mumbai,Wankhede Stadium,India,24-04-2018,Group Stage,Mumbai Indians,Sunrisers Hyderabad,,,,,Mumbai Indians,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,31,,Rashid Khan,C Shamshuddin,S Ravi
Bengaluru,M.Chinnaswamy Stadium,India,25-04-2018,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,,,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,5,MS Dhoni,NJ Llong,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,26-04-2018,Group Stage,Sunrisers Hyderabad,Kings XI Punjab,,,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,13,,AS Rajpoot,YC Barde,CK Nandan
Delhi,Feroz Shah Kotla,India,27-04-2018,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Delhi Daredevils,Delhi Daredevils,1,0,55,,SS Iyer,C Shamshuddin,S Ravi
Pune,Maharashtra Cricket Association Stadium,India,28-04-2018,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,8,RG Sharma,CB Gaffaney,Nitin Menon
Jaipur,Sawai Mansingh Stadium,India,29-04-2018,Group Stage,Rajasthan Royals,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,11,,KS Williamson,BNJ Oxenford,A Nand Kishore
Bengaluru,M.Chinnaswamy Stadium,India,29-04-2018,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,6,CA Lynn,NJ Llong,AK Chaudhary
Pune,Maharashtra Cricket Association Stadium,India,30-04-2018,Group Stage,Chennai Super Kings,Delhi Daredevils,,,,,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,13,,SR Watson,AY Dandekar,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,India,01-05-2018,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Mumbai Indians,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,TG Southee,M Erasmus,Nitin Menon
Delhi,Feroz Shah Kotla,India,02-05-2018,Group Stage,Delhi Daredevils,Rajasthan Royals,,,,,Rajasthan Royals,field,Delhi Daredevils,Delhi Daredevils,1,0,4,,RR Pant,VK Sharma,CK Nandan
Kolkata,Eden Gardens,India,03-05-2018,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,0,1,,6,SP Narine,HDPK Dharmasena,A Deshmukh
Indore,Holkar Cricket Stadium,India,04-05-2018,Group Stage,Kings XI Punjab,Mumbai Indians,,,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,6,SA Yadav,AY Dandekar,S Ravi
Pune,Maharashtra Cricket Association Stadium,India,05-05-2018,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,,,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,6,RA Jadeja,Nitin Menon,YC Barde
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,05-05-2018,Group Stage,Sunrisers Hyderabad,Delhi Daredevils,,,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,7,Rashid Khan,BNJ Oxenford,CK Nandan
Mumbai,Wankhede Stadium,India,06-05-2018,Group Stage,Mumbai Indians,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,13,,HH Pandya,HDPK Dharmasena,A Deshmukh
Indore,Holkar Cricket Stadium,India,06-05-2018,Group Stage,Kings XI Punjab,Rajasthan Royals,,,,,Kings XI Punjab,field,Rajasthan Royals,Kings XI Punjab,0,1,,6,Mujeeb Ur Rahman,C Shamshuddin,S Ravi
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,07-05-2018,Group Stage,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,5,,KS Williamson,BNJ Oxenford,VK Sharma
Jaipur,Sawai Mansingh Stadium,India,08-05-2018,Group Stage,Rajasthan Royals,Kings XI Punjab,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,15,,JC Buttler,M Erasmus,Nitin Menon
Kolkata,Eden Gardens,India,09-05-2018,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,102,,Ishan Kishan,KN Ananthapadmanabhan,AK Chaudhary
Delhi,Feroz Shah Kotla,India,10-05-2018,Group Stage,Delhi Daredevils,Sunrisers Hyderabad,,,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,9,S Dhawan,AY Dandekar,C Shamshuddin
Jaipur,Sawai Mansingh Stadium,India,11-05-2018,Group Stage,Rajasthan Royals,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,4,JC Buttler,M Erasmus,YC Barde
Indore,Holkar Cricket Stadium,India,12-05-2018,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,31,,SP Narine,VK Sharma,CK Nandan
Delhi,Feroz Shah Kotla,India,12-05-2018,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,5,AB de Villiers,KN Ananthapadmanabhan,HDPK Dharmasena
Pune,Maharashtra Cricket Association Stadium,India,13-05-2018,Group Stage,Chennai Super Kings,Sunrisers Hyderabad,,,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,8,AT Rayudu,M Erasmus,YC Barde
Mumbai,Wankhede Stadium,India,13-05-2018,Group Stage,Mumbai Indians,Rajasthan Royals,,,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,7,JC Buttler,Nitin Menon,S Ravi
Indore,Holkar Cricket Stadium,India,14-05-2018,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,0,1,,10,UT Yadav,BNJ Oxenford,VK Sharma
Kolkata,Eden Gardens,India,15-05-2018,Group Stage,Kolkata Knight Riders,Rajasthan Royals,,,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,6,Kuldeep Yadav,HDPK Dharmasena,AK Chaudhary
Mumbai,Wankhede Stadium,India,16-05-2018,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Kings XI Punjab,field,Mumbai Indians,Mumbai Indians,1,0,3,,JJ Bumrah,M Erasmus,Nitin Menon
Bengaluru,M.Chinnaswamy Stadium,India,17-05-2018,Group Stage,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,AB de Villiers,AY Dandekar,S Ravi
Delhi,Feroz Shah Kotla,India,18-05-2018,Group Stage,Delhi Daredevils,Chennai Super Kings,,,,,Chennai Super Kings,field,Delhi Daredevils,Delhi Daredevils,1,0,34,,HV Patel,VA Kulkarni,HDPK Dharmasena
Jaipur,Sawai Mansingh Stadium,India,19-05-2018,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,30,,S Gopal,BNJ Oxenford,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,19-05-2018,Group Stage,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,5,CA Lynn,AK Chaudhary,S Ravi
Delhi,Feroz Shah Kotla,India,20-05-2018,Group Stage,Delhi Daredevils,Mumbai Indians,,,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,11,,A Mishra,HDPK Dharmasena,CK Nandan
Pune,Maharashtra Cricket Association Stadium,India,20-05-2018,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,5,L Ngidi,Nitin Menon,YC Barde
Mumbai,Wankhede Stadium,India,22-05-2018,Group Stage,Sunrisers Hyderabad,Chennai Super Kings,,,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,2,F du Plessis,C Shamshuddin,M Erasmus
Kolkata,Eden Gardens,India,23-05-2018,Group Stage,Kolkata Knight Riders,Rajasthan Royals,,,,,Rajasthan Royals,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,25,,AD Russell,AK Chaudhary,Nitin Menon
Kolkata,Eden Gardens,India,25-05-2018,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,14,,Rashid Khan,HDPK Dharmasena,Nitin Menon
Mumbai,Wankhede Stadium,India,27-05-2018,Group Stage,Chennai Super Kings,Sunrisers Hyderabad,,,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,8,SR Watson,M Erasmus,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",India,23-03-2019,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,,,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,7,Harbhajan Singh,AY Dandekar,BNJ Oxenford
Kolkata,Eden Gardens,India,24-03-2019,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,6,AD Russell,CB Gaffaney,AK Chaudhary
Mumbai,Wankhede Stadium,India,24-03-2019,Group Stage,Mumbai Indians,Delhi Capitals,,,,,Mumbai Indians,field,Delhi Capitals,Delhi Capitals,1,0,37,,RR Pant,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,India,25-03-2019,Group Stage,Rajasthan Royals,Kings XI Punjab,,,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,CH Gayle,KN Ananthapadmanabhan,C Shamshuddin
Delhi,Feroz Shah Kotla,India,26-03-2019,Group Stage,Delhi Capitals,Chennai Super Kings,,,,,Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,0,1,,6,SR Watson,M Erasmus,Nitin Menon
Kolkata,Eden Gardens,India,27-03-2019,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,28,,AD Russell,VA Kulkarni,AK Chaudhary
Bengaluru,M.Chinnaswamy Stadium,India,28-03-2019,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,6,,JJ Bumrah,CK Nandan,S Ravi
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,29-03-2019,Group Stage,Sunrisers Hyderabad,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,0,1,,5,Rashid Khan,C Shamshuddin,BNJ Oxenford
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,30-03-2019,Group Stage,Kings XI Punjab,Mumbai Indians,,,,,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,0,1,,8,MA Agarwal,VA Kulkarni,CB Gaffaney
Delhi,Feroz Shah Kotla,India,30-03-2019,Group Stage,Delhi Capitals,Kolkata Knight Riders,,,,,Delhi Capitals,field,Kolkata Knight Riders,Tied,,,,,PP Shaw,AY Dandekar,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,31-03-2019,Group Stage,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,118,,JM Bairstow,KN Ananthapadmanabhan,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",India,31-03-2019,Group Stage,Chennai Super Kings,Rajasthan Royals,,,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,8,,MS Dhoni,YC Barde,CK Nandan
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,01-04-2019,Group Stage,Kings XI Punjab,Delhi Capitals,,,,,Delhi Capitals,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,SM Curran,CB Gaffaney,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,India,02-04-2019,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,,,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,S Gopal,AY Dandekar,M Erasmus
Mumbai,Wankhede Stadium,India,03-04-2019,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,37,,HH Pandya,RJ Tucker,BNJ Oxenford
Delhi,Feroz Shah Kotla,India,04-04-2019,Group Stage,Delhi Capitals,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,0,1,,5,JM Bairstow,KN Ananthapadmanabhan,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,India,05-04-2019,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,5,AD Russell,CB Gaffaney,AK Chaudhary
Chennai,"MA Chidambaram Stadium, Chepauk",India,06-04-2019,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,22,,Harbhajan Singh,KN Ananthapadmanabhan,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,06-04-2019,Group Stage,Sunrisers Hyderabad,Mumbai Indians,,,,,Sunrisers Hyderabad,field,Mumbai Indians,Mumbai Indians,1,0,40,,AS Joseph,AY Dandekar,Nitin Menon
Bengaluru,M.Chinnaswamy Stadium,India,07-04-2019,Group Stage,Royal Challengers Bangalore,Delhi Capitals,,,,,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,0,1,,4,K Rabada,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,India,07-04-2019,Group Stage,Rajasthan Royals,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,HF Gurney,CB Gaffaney,AK Chaudhary
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,08-04-2019,Group Stage,Kings XI Punjab,Sunrisers Hyderabad,,,,,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,0,1,,6,KL Rahul,AY Dandekar,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",India,09-04-2019,Group Stage,Chennai Super Kings,Kolkata Knight Riders,,,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,7,DL Chahar,RJ Tucker,C Shamshuddin
Mumbai,Wankhede Stadium,India,10-04-2019,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,3,KA Pollard,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,India,11-04-2019,Group Stage,Rajasthan Royals,Chennai Super Kings,,,,,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,0,1,,4,MS Dhoni,UV Gandhe,BNJ Oxenford
