City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
,Dubai International Cricket Stadium,2020-11-10,Delhi Capitals,Mumbai Indians,,,Delhi Capitals,bat,Delhi Capitals,Mumbai Indians,0,1,,5,TA Boult,CB Gaffaney,Nitin Menon
Bangalore,M Chinnaswamy Stadium,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,140,,BB McCullum,Asad Rauf,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-19,Kings XI Punjab,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,33,,MEK Hussey,MR Benson,SL Shastri
Delhi,Feroz Shah Kotla,2008-04-19,Delhi Daredevils,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Delhi Daredevils,0,1,,9,MF Maharoof,Aleem Dar,GA Pratapkumar
Mumbai,Wankhede Stadium,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,,,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,5,MV Boucher,SJ Davis,DJ Harper
Kolkata,Eden Gardens,2008-04-20,Kolkata Knight Riders,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Kolkata Knight Riders,0,1,,5,DJ Hussey,BF Bowden,K Hariharan
Jaipur,Sawai Mansingh Stadium,2008-04-21,Rajasthan Royals,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,0,1,,6,SR Watson,Aleem Dar,RB Tiffin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-04-22,Deccan Chargers,Delhi Daredevils,,,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,0,1,,9,V Sehwag,IL Howell,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",2008-04-23,Chennai Super Kings,Mumbai Indians,,,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,1,0,6,,ML Hayden,DJ Harper,GA Pratapkumar
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-04-24,Deccan Chargers,Rajasthan Royals,,,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,3,YK Pathan,Asad Rauf,MR Benson
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-25,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,66,,KC Sangakkara,Aleem Dar,AM Saheba
Bangalore,M Chinnaswamy Stadium,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,SR Watson,MR Benson,IL Howell
Chennai,"MA Chidambaram Stadium, Chepauk",2008-04-26,Chennai Super Kings,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,9,JDP Oram,BF Bowden,AV Jayaprakash
Mumbai,Dr DY Patil Sports Academy,2008-04-27,Mumbai Indians,Deccan Chargers,,,Deccan Chargers,field,Mumbai Indians,Deccan Chargers,0,1,,10,AC Gilchrist,Asad Rauf,SL Shastri
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-27,Kings XI Punjab,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,0,1,,4,SM Katich,RE Koertzen,I Shivram
Bangalore,M Chinnaswamy Stadium,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,13,,MS Dhoni,BR Doctrove,RB Tiffin
Kolkata,Eden Gardens,2008-04-29,Kolkata Knight Riders,Mumbai Indians,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,7,ST Jayasuriya,BF Bowden,AV Jayaprakash
Delhi,Feroz Shah Kotla,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,1,0,10,,GD McGrath,Aleem Dar,I Shivram
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-01,Deccan Chargers,Kings XI Punjab,,,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,7,SE Marsh,BR Doctrove,RB Tiffin
Jaipur,Sawai Mansingh Stadium,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,45,,SA Asnodkar,RE Koertzen,GA Pratapkumar
Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-02,Chennai Super Kings,Delhi Daredevils,,,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,8,V Sehwag,BF Bowden,K Hariharan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-25,Deccan Chargers,Royal Challengers Bangalore,,,Deccan Chargers,bat,Deccan Chargers,Royal Challengers Bangalore,0,1,,5,R Vinay Kumar,Asad Rauf,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-03,Kings XI Punjab,Kolkata Knight Riders,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,9,,IK Pathan,DJ Harper,I Shivram
Mumbai,Dr DY Patil Sports Academy,2008-05-04,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,29,,SM Pollock,IL Howell,RE Koertzen
Jaipur,Sawai Mansingh Stadium,2008-05-04,Rajasthan Royals,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,8,Sohail Tanvir,Asad Rauf,AV Jayaprakash
Bangalore,M Chinnaswamy Stadium,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,field,Royal Challengers Bangalore,Kings XI Punjab,0,1,,6,S Sreesanth,SJ Davis,BR Doctrove
Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-06,Chennai Super Kings,Deccan Chargers,,,Deccan Chargers,field,Chennai Super Kings,Deccan Chargers,0,1,,7,AC Gilchrist,MR Benson,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,2008-05-07,Mumbai Indians,Rajasthan Royals,,,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,0,1,,7,A Nehra,DJ Harper,RE Koertzen
Delhi,Feroz Shah Kotla,2008-05-08,Delhi Daredevils,Chennai Super Kings,,,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,0,1,,4,MS Dhoni,Aleem Dar,RB Tiffin
Kolkata,Eden Gardens,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,5,,SC Ganguly,Asad Rauf,IL Howell
Jaipur,Sawai Mansingh Stadium,2008-05-09,Rajasthan Royals,Deccan Chargers,,,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,8,YK Pathan,MR Benson,AM Saheba
Bangalore,M Chinnaswamy Stadium,2008-05-28,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,9,CRD Fernando,BF Bowden,AV Jayaprakash
Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-10,Chennai Super Kings,Kings XI Punjab,,,Kings XI Punjab,field,Chennai Super Kings,Chennai Super Kings,1,0,18,,L Balaji,AV Jayaprakash,BG Jerling
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-11,Deccan Chargers,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,23,,SC Ganguly,IL Howell,AM Saheba
Jaipur,Sawai Mansingh Stadium,2008-05-11,Rajasthan Royals,Delhi Daredevils,,,Rajasthan Royals,field,Delhi Daredevils,Rajasthan Royals,0,1,,3,SR Watson,SJ Davis,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,9,SE Marsh,BR Doctrove,I Shivram
Kolkata,Eden Gardens,2008-05-13,Kolkata Knight Riders,Delhi Daredevils,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,23,,Shoaib Akhtar,Asad Rauf,IL Howell
Mumbai,Wankhede Stadium,2008-05-14,Mumbai Indians,Chennai Super Kings,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,9,ST Jayasuriya,BR Doctrove,AM Saheba
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-28,Kings XI Punjab,Rajasthan Royals,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,41,,SE Marsh,SJ Davis,K Hariharan
Delhi,Feroz Shah Kotla,2008-05-15,Delhi Daredevils,Deccan Chargers,,,Deccan Chargers,field,Delhi Daredevils,Delhi Daredevils,1,0,12,,A Mishra,BG Jerling,GA Pratapkumar
Mumbai,Wankhede Stadium,2008-05-16,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,8,SM Pollock,BR Doctrove,DJ Harper
Delhi,Feroz Shah Kotla,2008-05-17,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,1,0,6,,DPMD Jayawardene,AV Jayaprakash,RE Koertzen
Jaipur,Sawai Mansingh Stadium,2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Rajasthan Royals,Rajasthan Royals,1,0,65,,GC Smith,BF Bowden,SL Shastri
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-18,Deccan Chargers,Mumbai Indians,,,Deccan Chargers,field,Mumbai Indians,Mumbai Indians,1,0,25,,DJ Bravo,BR Doctrove,DJ Harper
Kolkata,Eden Gardens,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,1,0,3,,M Ntini,Asad Rauf,K Hariharan
Bangalore,M Chinnaswamy Stadium,2008-05-19,Royal Challengers Bangalore,Delhi Daredevils,,,Delhi Daredevils,field,Royal Challengers Bangalore,Delhi Daredevils,0,1,,5,SP Goswami,SJ Davis,GA Pratapkumar
Kolkata,Eden Gardens,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,0,1,,6,YK Pathan,BG Jerling,RE Koertzen
Mumbai,Wankhede Stadium,2008-05-21,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,1,,SE Marsh,BF Bowden,GA Pratapkumar
Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,A Kumble,DJ Harper,I Shivram
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-23,Kings XI Punjab,Deccan Chargers,,,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,6,SE Marsh,Asad Rauf,SJ Davis
Delhi,Feroz Shah Kotla,2008-05-24,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,5,KD Karthik,BF Bowden,K Hariharan
Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-24,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,10,,JA Morkel,DJ Harper,SL Shastri
Bangalore,M Chinnaswamy Stadium,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,,,Deccan Chargers,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,3,,P Kumar,BR Doctrove,SL Shastri
Kolkata,Eden Gardens,2008-05-25,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Kolkata Knight Riders,0,1,,3,Umar Gul,SJ Davis,I Shivram
Jaipur,Sawai Mansingh Stadium,2008-05-26,Rajasthan Royals,Mumbai Indians,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,5,Sohail Tanvir,BF Bowden,K Hariharan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-27,Deccan Chargers,Chennai Super Kings,,,Deccan Chargers,bat,Deccan Chargers,Chennai Super Kings,0,1,,7,SK Raina,BG Jerling,AM Saheba
Mumbai,Wankhede Stadium,2008-05-30,Delhi Daredevils,Rajasthan Royals,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,105,,SR Watson,BF Bowden,RE Koertzen
Mumbai,Wankhede Stadium,2008-05-31,Chennai Super Kings,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Chennai Super Kings,0,1,,9,M Ntini,Asad Rauf,DJ Harper
Mumbai,Dr DY Patil Sports Academy,2008-06-01,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,0,1,,3,YK Pathan,BF Bowden,RE Koertzen
Cape Town,Newlands,2009-04-18,Chennai Super Kings,Mumbai Indians,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,19,,SR Tendulkar,BR Doctrove,K Hariharan
Cape Town,Newlands,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,75,,R Dravid,BR Doctrove,RB Tiffin
Cape Town,Newlands,2009-04-19,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,10,DL Vettori,MR Benson,SD Ranade
Cape Town,Newlands,2009-04-19,Deccan Chargers,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Deccan Chargers,0,1,,8,RP Singh,MR Benson,BR Doctrove
Port Elizabeth,St George's Park,2009-04-20,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,92,,M Muralitharan,BG Jerling,SJA Taufel
Durban,Kingsmead,2009-04-21,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,1,0,11,,CH Gayle,DJ Harper,SD Ranade
Cape Town,Newlands,2009-04-22,Royal Challengers Bangalore,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,24,,AC Gilchrist,M Erasmus,AM Saheba
Durban,Kingsmead,2009-04-23,Chennai Super Kings,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,9,,AB de Villiers,BR Doctrove,SJA Taufel
Cape Town,Newlands,2009-04-23,Kolkata Knight Riders,Rajasthan Royals,,,Kolkata Knight Riders,field,Rajasthan Royals,Tied,,,,,YK Pathan,MR Benson,M Erasmus
Durban,Kingsmead,2009-04-24,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,7,RS Bopara,BR Doctrove,TH Wijewardene
Durban,Kingsmead,2009-04-25,Deccan Chargers,Mumbai Indians,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,12,,PP Ojha,HDPK Dharmasena,SJA Taufel
Port Elizabeth,St George's Park,2009-04-26,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Delhi Daredevils,0,1,,6,TM Dilshan,S Asnani,BG Jerling
Cape Town,Newlands,2009-04-26,Kings XI Punjab,Rajasthan Royals,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,27,,KC Sangakkara,M Erasmus,K Hariharan
Durban,Kingsmead,2009-04-27,Chennai Super Kings,Deccan Chargers,,,Deccan Chargers,field,Chennai Super Kings,Deccan Chargers,0,1,,6,HH Gibbs,IL Howell,TH Wijewardene
Port Elizabeth,St George's Park,2009-04-27,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,92,,SR Tendulkar,BG Jerling,RB Tiffin
Centurion,SuperSport Park,2009-04-28,Delhi Daredevils,Rajasthan Royals,,,Delhi Daredevils,bat,Delhi Daredevils,Rajasthan Royals,0,1,,5,YK Pathan,GAV Baxter,RE Koertzen
Durban,Kingsmead,2009-04-29,Royal Challengers Bangalore,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,5,MV Boucher,MR Benson,TH Wijewardene
Durban,Kingsmead,2009-04-29,Kings XI Punjab,Mumbai Indians,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,3,,KC Sangakkara,MR Benson,SL Shastri
Centurion,SuperSport Park,2009-04-30,Deccan Chargers,Delhi Daredevils,,,Delhi Daredevils,field,Deccan Chargers,Delhi Daredevils,0,1,,6,DP Nannes,GAV Baxter,AM Saheba
Centurion,SuperSport Park,2009-04-30,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,38,,SK Raina,GAV Baxter,RE Koertzen
East London,Buffalo Park,2009-05-01,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,9,,JP Duminy,M Erasmus,SK Tarapore
Durban,Kingsmead,2009-05-01,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,8,,Yuvraj Singh,HDPK Dharmasena,S Ravi
Port Elizabeth,St George's Park,2009-05-02,Deccan Chargers,Rajasthan Royals,,,Deccan Chargers,bat,Deccan Chargers,Rajasthan Royals,0,1,,3,YK Pathan,S Asnani,BG Jerling
Johannesburg,New Wanderers Stadium,2009-05-02,Chennai Super Kings,Delhi Daredevils,,,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,18,,SB Jakati,DJ Harper,RE Koertzen
Port Elizabeth,St George's Park,2009-05-03,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kings XI Punjab,0,1,,6,DPMD Jayawardene,S Asnani,MR Benson
Johannesburg,New Wanderers Stadium,2009-05-03,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,9,JH Kallis,RE Koertzen,TH Wijewardene
East London,Buffalo Park,2009-05-04,Chennai Super Kings,Deccan Chargers,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,78,,MS Dhoni,BR Doctrove,M Erasmus
Durban,Kingsmead,2009-05-05,Kings XI Punjab,Rajasthan Royals,,,Kings XI Punjab,field,Rajasthan Royals,Rajasthan Royals,1,0,78,,GC Smith,SS Hazare,IL Howell
Durban,Kingsmead,2009-05-05,Delhi Daredevils,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Daredevils,0,1,,9,G Gambhir,GAV Baxter,IL Howell
Centurion,SuperSport Park,2009-05-06,Deccan Chargers,Mumbai Indians,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,19,,RG Sharma,MR Benson,HDPK Dharmasena
Centurion,SuperSport Park,2009-05-07,Royal Challengers Bangalore,Rajasthan Royals,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,A Singh,K Hariharan,DJ Harper
Centurion,SuperSport Park,2009-05-07,Chennai Super Kings,Kings XI Punjab,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,12,,ML Hayden,DJ Harper,TH Wijewardene
East London,Buffalo Park,2009-05-08,Delhi Daredevils,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Delhi Daredevils,0,1,,7,A Nehra,M Erasmus,SK Tarapore
Kimberley,De Beers Diamond Oval,2009-05-09,Deccan Chargers,Kings XI Punjab,,,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,3,DPMD Jayawardene,GAV Baxter,AM Saheba
Kimberley,De Beers Diamond Oval,2009-05-09,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,0,1,,7,S Badrinath,GAV Baxter,HDPK Dharmasena
Port Elizabeth,St George's Park,2009-05-10,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,16,,JP Duminy,BR Doctrove,BG Jerling
Johannesburg,New Wanderers Stadium,2009-05-10,Delhi Daredevils,Kolkata Knight Riders,,,Delhi Daredevils,field,Kolkata Knight Riders,Delhi Daredevils,0,1,,7,A Mishra,SL Shastri,RB Tiffin
Kimberley,De Beers Diamond Oval,2009-05-11,Deccan Chargers,Rajasthan Royals,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,53,,DR Smith,GAV Baxter,HDPK Dharmasena
Centurion,SuperSport Park,2009-05-12,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,6,LRPL Taylor,M Erasmus,SS Hazare
Centurion,SuperSport Park,2009-05-12,Kings XI Punjab,Mumbai Indians,,,Kings XI Punjab,bat,Kings XI Punjab,Mumbai Indians,0,1,,8,Harbhajan Singh,SS Hazare,RE Koertzen
Durban,Kingsmead,2009-05-13,Deccan Chargers,Delhi Daredevils,,,Deccan Chargers,field,Delhi Daredevils,Delhi Daredevils,1,0,12,,R Bhatia,DJ Harper,SL Shastri
Durban,Kingsmead,2009-05-14,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bangalore,0,1,,2,LRPL Taylor,BR Doctrove,DJ Harper
Durban,Kingsmead,2009-05-14,Mumbai Indians,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,2,,SK Warne,BR Doctrove,DJ Harper
Bloemfontein,OUTsurance Oval,2009-05-15,Delhi Daredevils,Kings XI Punjab,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,6,B Lee,HDPK Dharmasena,IL Howell
Port Elizabeth,St George's Park,2009-05-16,Chennai Super Kings,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,0,1,,7,ML Hayden,SK Tarapore,SJA Taufel
Johannesburg,New Wanderers Stadium,2009-05-16,Deccan Chargers,Kolkata Knight Riders,,,Deccan Chargers,field,Kolkata Knight Riders,Deccan Chargers,0,1,,6,RG Sharma,RE Koertzen,S Ravi
Johannesburg,New Wanderers Stadium,2009-05-17,Deccan Chargers,Kings XI Punjab,,,Deccan Chargers,field,Kings XI Punjab,Kings XI Punjab,1,0,1,,Yuvraj Singh,S Ravi,RB Tiffin
Bloemfontein,OUTsurance Oval,2009-05-17,Delhi Daredevils,Rajasthan Royals,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,14,,AB de Villiers,SS Hazare,IL Howell
Centurion,SuperSport Park,2009-05-18,Chennai Super Kings,Kolkata Knight Riders,,,Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,0,1,,7,BJ Hodge,SJA Taufel,RB Tiffin
Johannesburg,New Wanderers Stadium,2009-05-19,Royal Challengers Bangalore,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Royal Challengers Bangalore,0,1,,7,JH Kallis,IL Howell,RB Tiffin
Durban,Kingsmead,2009-05-20,Kolkata Knight Riders,Rajasthan Royals,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,4,LR Shukla,BG Jerling,SJA Taufel
Durban,Kingsmead,2009-05-20,Chennai Super Kings,Kings XI Punjab,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,M Muralitharan,BG Jerling,SJA Taufel
Centurion,SuperSport Park,2009-05-21,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,4,V Sehwag,IL Howell,S Ravi
Centurion,SuperSport Park,2009-05-21,Royal Challengers Bangalore,Deccan Chargers,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,12,,MK Pandey,IL Howell,S Ravi
Centurion,SuperSport Park,2009-05-22,Delhi Daredevils,Deccan Chargers,,,Deccan Chargers,field,Delhi Daredevils,Deccan Chargers,0,1,,6,AC Gilchrist,BR Doctrove,DJ Harper
Johannesburg,New Wanderers Stadium,2009-05-23,Royal Challengers Bangalore,Chennai Super Kings,,,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,0,1,,6,MK Pandey,RE Koertzen,SJA Taufel
Johannesburg,New Wanderers Stadium,2009-05-24,Royal Challengers Bangalore,Deccan Chargers,,,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,6,,A Kumble,RE Koertzen,SJA Taufel
Mumbai,Dr DY Patil Sports Academy,2010-03-12,Deccan Chargers,Kolkata Knight Riders,,,Deccan Chargers,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,11,,AD Mathews,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,2010-03-13,Mumbai Indians,Rajasthan Royals,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,4,,YK Pathan,RE Koertzen,RB Tiffin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2010-03-13,Kings XI Punjab,Delhi Daredevils,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,5,G Gambhir,BR Doctrove,S Ravi
Kolkata,Eden Gardens,2010-03-14,Kolkata Knight Riders,Royal Challengers Bangalore,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,7,MK Tiwary,HDPK Dharmasena,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",2010-03-14,Chennai Super Kings,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,31,,WPUJC Vaas,K Hariharan,DJ Harper
Ahmedabad,"Sardar Patel Stadium, Motera",2010-03-15,Rajasthan Royals,Delhi Daredevils,,,Delhi Daredevils,field,Rajasthan Royals,Delhi Daredevils,0,1,,6,V Sehwag,BG Jerling,RE Koertzen
Bangalore,M Chinnaswamy Stadium,2010-03-16,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Royal Challengers Bangalore,0,1,,8,JH Kallis,S Das,DJ Harper
Kolkata,Eden Gardens,2010-03-16,Kolkata Knight Riders,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,55,,MS Dhoni,HDPK Dharmasena,AM Saheba
Delhi,Feroz Shah Kotla,2010-03-17,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,98,,SR Tendulkar,BR Doctrove,SK Tarapore
Bangalore,M Chinnaswamy Stadium,2010-03-18,Royal Challengers Bangalore,Rajasthan Royals,,,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,0,1,,10,JH Kallis,K Hariharan,DJ Harper
